place_id,best_type,subtype
ChIJgTAHm9HHBZERqH8Sfg4j4WQ,Jiu Jitsu,Boxing
ChIJgTAHm9HHBZERqH8Sfg4j4WQ,Jiu Jitsu,MMA
ChIJe58qHQDPBZERcOlRkfXry8o,Capoeira,Boxeo
ChIJe58qHQDPBZERcOlRkfXry8o,Capoeira,Jiu Jitsu
ChIJe58qHQDPBZERcOlRkfXry8o,Capoeira,MMA
ChIJleickSfFBZERvxocs06mECI,Capoeira,Boxeo
ChIJleickSfFBZERvxocs06mECI,Capoeira,Jiu Jitsu
ChIJleickSfFBZERvxocs06mECI,Capoeira,MMA
ChIJtwb4dADJBZER1-b2zKidZzU,Muay Thai,Jiu Jitsu
ChIJaR7YcY7vBZER3FZOVZx4bHg,Muay Thai,MMA
ChIJEzX-loTLBZER0JUz0_GZeRM,Muay Thai,Jiu Jitsu
ChIJEzX-loTLBZER0JUz0_GZeRM,Muay Thai,Boxing
ChIJEzX-loTLBZER0JUz0_GZeRM,Muay Thai,MMA
ChIJr4hIAu_LBZERILPbEM-CM9w,Karate,Tae Kwon Do
ChIJr4hIAu_LBZERILPbEM-CM9w,Karate,Jiu Jitsu
ChIJD6btPMbHBZER9x_64LBItW0,Muay Thai,Jiu Jitsu
ChIJD6btPMbHBZER9x_64LBItW0,Muay Thai,MMA
ChIJ0-QO8jTRBZERpLcqXjB3Kr4,Kung Fu,Kickboxing
ChIJ0-QO8jTRBZERpLcqXjB3Kr4,Kung Fu,Muay Thai
ChIJ0-QO8jTRBZERpLcqXjB3Kr4,Kung Fu,Karate
ChIJ0-QO8jTRBZERpLcqXjB3Kr4,Kung Fu,Tae Kwon Do
ChIJ0-QO8jTRBZERpLcqXjB3Kr4,Kung Fu,Jiu Jitsu
ChIJ0-QO8jTRBZERpLcqXjB3Kr4,Kung Fu,Judo
ChIJ0-QO8jTRBZERpLcqXjB3Kr4,Kung Fu,Boxing
ChIJ0-QO8jTRBZERpLcqXjB3Kr4,Kung Fu,MMA
ChIJQ31ia9PRBZERRfVjIYN9VuA,Boxing,Muay Thai
ChIJQ31ia9PRBZERRfVjIYN9VuA,Boxing,Krav Maga
ChIJQ31ia9PRBZERRfVjIYN9VuA,Boxing,Wrestling
ChIJH-p69sm3BZERtabzgMfhqW0,Karate,Judo
ChIJH-p69sm3BZERtabzgMfhqW0,Karate,Muay Thai
ChIJG9kQoXbJBZER3AlWHo88KO4,Aikido,Judo
ChIJx2KpUbvJBZERSXuxS6VWegQ,Kickboxing,MMA
ChIJx2KpUbvJBZERSXuxS6VWegQ,Kickboxing,Jiu Jitsu
ChIJ4e04LYrJBZERJn9FTvP_KYc,Capoeira,Jiu Jitsu
ChIJ4e04LYrJBZERJn9FTvP_KYc,Capoeira,Wrestling
ChIJ4e04LYrJBZERJn9FTvP_KYc,Capoeira,Muay Thai
ChIJ4e04LYrJBZERJn9FTvP_KYc,Capoeira,Boxing
ChIJCZ9ET-npBZERmwkARU697XA,Muay Thai,MMA
ChIJCZ9ET-npBZERmwkARU697XA,Muay Thai,Jiu Jitsu
ChIJzRmx2l3vBZERIv9LuWJr-UY,Muay Thai,MMA
ChIJzRmx2l3vBZERIv9LuWJr-UY,Muay Thai,Jiu Jitsu
ChIJubZD0HvFBZERQWkbdUOlvgQ,Boxing,Muay Thai
ChIJubZD0HvFBZERQWkbdUOlvgQ,Boxing,MMA
ChIJz03HLXzBBZERrg1vTS-hH8o,Tae Kwon Do,MMA
ChIJz03HLXzBBZERrg1vTS-hH8o,Tae Kwon Do,Kickboxing
ChIJMWm_TyDFBZERPAmzxjVEhbo,Tae Kwon Do,MMA
ChIJMWm_TyDFBZERPAmzxjVEhbo,Tae Kwon Do,Muay Thai
ChIJwTj8Xu7FBZERi0agsCck9RU,Tae Kwon Do,MMA
ChIJwTj8Xu7FBZERi0agsCck9RU,Tae Kwon Do,Muay Thai
ChIJVW0EmhHHBZER_JJo4iXfnkY,Boxing,MMA
ChIJSYYL9dbpBZERAH45ckrXXJI,Karate,Boxing
ChIJSYYL9dbpBZERAH45ckrXXJI,Karate,Kickboxing
ChIJSYYL9dbpBZERAH45ckrXXJI,Karate,Jiu Jitsu
ChIJSYYL9dbpBZERAH45ckrXXJI,Karate,MMA
ChIJiUD0uIzJBZERMtyqr78xuGk,Muay Thai,Judo
ChIJ92Sw1zfJBZERjzp-2jBBPCc,Muay Thai,Jiu Jitsu
ChIJ2RQ12Su5BZER7k-Ju-QN95g,Muay Thai,MMA
ChIJl0MWi2DPBZERgFcEjhaUsr4,Muay Thai,MMA
ChIJl0MWi2DPBZERgFcEjhaUsr4,Muay Thai,Boxing
ChIJ8_BFx5PPBZERWwYNTecWaQ0,Muay Thai,MMA
ChIJ8_BFx5PPBZERWwYNTecWaQ0,Muay Thai,Boxing
ChIJTftM_zrIBZERka67kYT47XQ,Boxing,Muay Thai
ChIJTftM_zrIBZERka67kYT47XQ,Boxing,Jiu Jitsu
